year,annual_demand,peak_demand
2025,151000.0,24000.0
2026,154322.0,24528.0
2027,157717.084,25067.615999999998
2028,161186.859848,25619.103552
2029,164732.970764656,26182.723830144
2030,168357.09612147845,26758.74375440717
2031,172060.95223615097,27347.43611700413
2032,175846.29318534632,27949.079711578222
2033,179714.91163542392,28563.95946523294
2034,183668.63969140328,29192.36657346807
2035,187709.34976461413,29834.598638084368
2036,191838.95545943565,30490.95980812222
2037,196059.4124795432,31161.760923900907
2038,200372.71955409317,31847.31966422673
2039,204780.91938428322,32547.960696839717
2040,209286.0996107375,33264.0158321702
2041,213890.3938021737,33995.82418047794
2042,218595.98246582152,34743.732312448454
2043,223405.0940800696,35508.09442332232
2044,228320.00614983114,36289.272500635416
2045,233343.04628512744,37087.63649564939
